	book	chapter	verse	lemma	strongno	gloss	display_lemma
0	00	01	01	βίβλος	G976	written book, roll, volume, book	βίβλος
1	00	01	01	γένεσις	G1078	birth, lineage, beginning	γένεσις
2	00	01	01	Ἰησοῦς	G2424	Jesus, Joshua	Ἰησοῦς
3	00	01	01	Χριστός	G5547	the Anointed One, the Messiah, the Christ	Χριστός
4	00	01	01	υἱός	G5207	son, descendent	υἱός
5	00	01	01	Δαυίδ	G1138	David	Δαυίδ
6	00	01	01	υἱός	G5207	son, descendent	υἱός
7	00	01	01	Ἀβραάμ	G11	Abraham	Ἀβραάμ
8	00	01	02	Ἀβραάμ	G11	Abraham	Ἀβραάμ
9	00	01	02	γεννάω	G1080	bring forth, give birth to	γεννάω
10	00	01	02	Ἰσαάκ	G2464	Isaac	Ἰσαάκ
11	00	01	02	Ἰσαάκ	G2464	Isaac	Ἰσαάκ
12	00	01	02	γεννάω	G1080	bring forth, give birth to	γεννάω
13	00	01	02	Ἰακώβ	G2384	Jacob	Ἰακώβ
14	00	01	02	Ἰακώβ	G2384	Jacob	Ἰακώβ
15	00	01	02	γεννάω	G1080	bring forth, give birth to	γεννάω
16	00	01	02	Ἰούδας	G2455	Judas, Jude	Ἰούδας
17	00	01	02	ἀδελφός	G80	brother	ἀδελφός
18	00	01	03	Ἰούδας	G2455	Judas, Jude	Ἰούδας
19	00	01	03	γεννάω	G1080	bring forth, give birth to	γεννάω
20	00	01	03	Φάρες	G5329	Perez	Φάρες
21	00	01	03	Ζάρα	G2196	Zerah	Ζάρα
22	00	01	03	Θαμάρ	G2283	Tamar	Θαμάρ
23	00	01	03	Φάρες	G5329	Perez	Φάρες
24	00	01	03	γεννάω	G1080	bring forth, give birth to	γεννάω
25	00	01	03	Ἑσρώμ	G2074	Hezron	Ἑσρώμ
26	00	01	03	Ἑσρώμ	G2074	Hezron	Ἑσρώμ
27	00	01	03	γεννάω	G1080	bring forth, give birth to	γεννάω
